source,rule_id,severity,location,description,severity_raw,tool_code,severity_norm,suppressed,dedup_key,risk_score,priority,ART_minutes,expected_priority
SAST,css:S125,MAJOR,spring-petclinic:src/main/resources/static/resources/css/petclinic.css:9478,Remove this commented out code.,MAJOR,1,3,False,366f228e4912394659,70,HIGH,60,HIGH
SAST,css:S4666,MAJOR,spring-petclinic:src/main/resources/static/resources/css/petclinic.css:9444,"Unexpected duplicate selector "".navbar"", first used at line 3171",MAJOR,1,3,False,a36db54f1257be3961,70,HIGH,60,HIGH
SAST,css:S4666,MAJOR,spring-petclinic:src/main/resources/static/resources/css/petclinic.css:9434,"Unexpected duplicate selector ""h3, .h3"", first used at line 239",MAJOR,1,3,False,7c481b8be32a4a05ae,70,HIGH,60,HIGH
SAST,css:S4666,MAJOR,spring-petclinic:src/main/resources/static/resources/css/petclinic.css:9427,"Unexpected duplicate selector ""h2, .h2"", first used at line 234",MAJOR,1,3,False,e6011b91b559dc335a,70,HIGH,60,HIGH
SAST,css:S4666,MAJOR,spring-petclinic:src/main/resources/static/resources/css/petclinic.css:9422,"Unexpected duplicate selector ""h1, .h1"", first used at line 229",MAJOR,1,3,False,b005994db4e2e537cf,70,HIGH,60,HIGH
SAST,css:S4666,MAJOR,spring-petclinic:src/main/resources/static/resources/css/petclinic.css:2912,"Unexpected duplicate selector "".dropstart .dropdown-toggle::before"", first used at line 2900",MAJOR,1,3,False,1a5b9e126a75bde626,70,HIGH,60,HIGH
SCA,SNYK-JAVA-ORGYAML-3016891,MEDIUM,org.springframework.samples:spring-petclinic@4.0.0-SNAPSHOT > org.yaml:snakeyaml@1.26,Stack-based Buffer Overflow,MEDIUM,3,2,False,5943ccb9f44623d0d8,70,HIGH,60,MEDIUM
DAST,Buffer Overflow,MEDIUM,UNKNOWN,"<p>Buffer overflow errors are characterized by the overwriting of memory spaces of the background web process, which should have never been modified intentionally or unintentionally. Overwriting values of the IP (Instruction Pointer), BP (Base Pointer) and other registers causes exceptions, segmentation faults, and other process errors to occur. Usually these errors end execution of the application in an unexpected way.</p>",MEDIUM,2,2,False,3cc409893a78253757,60,HIGH,60,MEDIUM
DAST,Content Security Policy (CSP) Header Not Set,MEDIUM,UNKNOWN,"<p>Content Security Policy (CSP) is an added layer of security that helps to detect and mitigate certain types of attacks, including Cross Site Scripting (XSS) and data injection attacks. These attacks are used for everything from data theft to site defacement or distribution of malware. CSP provides a set of standard HTTP headers that allow website owners to declare approved sources of content that browsers should be allowed to load on that page — covered types are JavaScript, CSS, HTML frames, fonts, images and embeddable objects such as Java applets, ActiveX, audio and video files.</p>",MEDIUM,2,2,False,0e7e5da920ba4e76dd,60,HIGH,60,MEDIUM
DAST,Session ID in URL Rewrite,MEDIUM,UNKNOWN,"<p>URL rewrite is used to track user session ID. The session ID may be disclosed via cross-site referer header. In addition, the session ID might be stored in browser history or server logs.</p>",MEDIUM,2,2,False,f15db5747e518e2e5b,60,HIGH,60,MEDIUM
DAST,Absence of Anti-CSRF Tokens,MEDIUM,UNKNOWN,"<p>No Anti-CSRF tokens were found in a HTML submission form.</p><p>A cross-site request forgery is an attack that involves forcing a victim to send an HTTP request to a target destination without their knowledge or intent in order to perform an action as the victim. The underlying cause is application functionality using predictable URL/form actions in a repeatable way. The nature of the attack is that CSRF exploits the trust that a web site has for a user. By contrast, cross-site scripting (XSS) exploits the trust that a user has for a web site. Like XSS, CSRF attacks are not necessarily cross-site, but they can be. Cross-site request forgery is also known as CSRF, XSRF, one-click attack, session riding, confused deputy, and sea surf.</p><p></p><p>CSRF attacks are effective in a number of situations, including:</p><p>    * The victim has an active session on the target site.</p><p>    * The victim is authenticated via HTTP auth on the target site.</p><p>    * The victim is on the same local network as the target site.</p><p></p><p>CSRF has primarily been used to perform an action against a target site using the victim's privileges, but recent techniques have been discovered to disclose information by gaining access to the response. The risk of information disclosure is dramatically increased when the target site is vulnerable to XSS, because XSS can be used as a platform for CSRF, allowing the attack to operate within the bounds of the same-origin policy.</p>",MEDIUM,2,2,False,53f44f982dad8848e3,60,HIGH,60,MEDIUM
DAST,Missing Anti-clickjacking Header,MEDIUM,UNKNOWN,<p>The response does not protect against 'ClickJacking' attacks. It should include either Content-Security-Policy with 'frame-ancestors' directive or X-Frame-Options.</p>,MEDIUM,2,2,False,490b9f622673a0b27b,60,HIGH,60,MEDIUM
DAST,Format String Error,MEDIUM,UNKNOWN,<p>A Format String error occurs when the submitted data of an input string is evaluated as a command by the application.</p>,MEDIUM,2,2,False,067d0e018634baebc1,60,HIGH,60,MEDIUM
SCA,SNYK-JAVA-ORGYAML-3016889,LOW,org.springframework.samples:spring-petclinic@4.0.0-SNAPSHOT > org.yaml:snakeyaml@1.26,Stack-based Buffer Overflow,LOW,3,1,False,a5d0000bcdfc0e6b58,50,MEDIUM,180,LOW
SCA,SNYK-JAVA-ORGYAML-3016888,LOW,org.springframework.samples:spring-petclinic@4.0.0-SNAPSHOT > org.yaml:snakeyaml@1.26,Stack-based Buffer Overflow,LOW,3,1,False,64fcfbc1a5a892d90f,50,MEDIUM,180,LOW
SCA,SNYK-JAVA-ORGYAML-3113851,LOW,org.springframework.samples:spring-petclinic@4.0.0-SNAPSHOT > org.yaml:snakeyaml@1.26,Stack-based Buffer Overflow,LOW,3,1,False,5b9d4d147cee735fa3,50,MEDIUM,180,LOW
DAST,User Agent Fuzzer,INFORMATIONAL,UNKNOWN,"<p>Check for differences in response based on fuzzed User Agent (eg. mobile sites, access as a Search Engine Crawler). Compares the response statuscode and the hashcode of the response body with the original response.</p>",INFORMATIONAL,2,1,False,c46b912906409d17ec,40,MEDIUM,180,LOW
DAST,Information Disclosure - Debug Error Messages,LOW,UNKNOWN,"<p>The response appeared to contain common error messages returned by platforms such as ASP.NET, and Web-servers such as IIS and Apache. You can configure the list of common debug messages.</p>",LOW,2,1,False,0c95d03d92dd4d868e,40,MEDIUM,180,LOW
DAST,Cookie without SameSite Attribute,LOW,UNKNOWN,"<p>A cookie has been set without the SameSite attribute, which means that the cookie can be sent as a result of a 'cross-site' request. The SameSite attribute is an effective counter measure to cross-site request forgery, cross-site script inclusion, and timing attacks.</p>",LOW,2,1,False,b39dafdd3912b61d8b,40,MEDIUM,180,LOW
DAST,Information Disclosure - Suspicious Comments,INFORMATIONAL,UNKNOWN,<p>The response appears to contain suspicious comments which may help an attacker.</p>,INFORMATIONAL,2,1,False,34e3c21d256d5ca002,40,MEDIUM,180,LOW
DAST,Session Management Response Identified,INFORMATIONAL,UNKNOWN,"<p>The given response has been identified as containing a session management token. The 'Other Info' field contains a set of header tokens that can be used in the Header Based Session Management Method. If the request is in a context which has a Session Management Method set to ""Auto-Detect"" then this rule will change the session management to use the tokens identified.</p>",INFORMATIONAL,2,1,False,ae7e288f04e4ee6ef8,40,MEDIUM,180,LOW
DAST,Application Error Disclosure,LOW,UNKNOWN,<p>This page contains an error/warning message that may disclose sensitive information like the location of the file that produced the unhandled exception. This information can be used to launch further attacks against the web application. The alert could be a false positive if the error message is found inside a documentation page.</p>,LOW,2,1,False,bd468fd334c0dc4c93,40,MEDIUM,180,LOW
DAST,User Controllable HTML Element Attribute (Potential XSS),INFORMATIONAL,UNKNOWN,<p>This check looks at user-supplied input in query string parameters and POST data to identify where certain HTML attribute values might be controlled. This provides hot-spot detection for XSS (cross-site scripting) that will require further review by a security analyst to determine exploitability.</p>,INFORMATIONAL,2,1,False,fa4dd587ec22596af6,40,MEDIUM,180,LOW
DAST,X-Content-Type-Options Header Missing,LOW,UNKNOWN,"<p>The Anti-MIME-Sniffing header X-Content-Type-Options was not set to 'nosniff'. This allows older versions of Internet Explorer and Chrome to perform MIME-sniffing on the response body, potentially causing the response body to be interpreted and displayed as a content type other than the declared content type. Current (early 2014) and legacy versions of Firefox will use the declared content type (if one is set), rather than performing MIME-sniffing.</p>",LOW,2,1,False,853b8f8e5b483214d8,40,MEDIUM,180,LOW
SAST,Web:S6827,MINOR,spring-petclinic:src/main/resources/templates/owners/ownersList.html:54,Anchors must have content and the content must be accessible by a screen reader.,MINOR,1,1,False,2030822743d2cb3308,30,LOW,480,LOW
SAST,Web:S6827,MINOR,spring-petclinic:src/main/resources/templates/vets/vetList.html:35,Anchors must have content and the content must be accessible by a screen reader.,MINOR,1,1,False,72bc5c1486dd278a9e,30,LOW,480,LOW
SAST,Web:S6827,MINOR,spring-petclinic:src/main/resources/templates/owners/ownersList.html:44,Anchors must have content and the content must be accessible by a screen reader.,MINOR,1,1,False,cc99274fb7aa6628da,30,LOW,480,LOW
SAST,Web:S6827,MINOR,spring-petclinic:src/main/resources/templates/vets/vetList.html:45,Anchors must have content and the content must be accessible by a screen reader.,MINOR,1,1,False,ee4a3bee4b8662887e,30,LOW,480,LOW
SAST,Web:S6827,MINOR,spring-petclinic:src/main/resources/templates/vets/vetList.html:50,Anchors must have content and the content must be accessible by a screen reader.,MINOR,1,1,False,fe28df44f5b573fef4,30,LOW,480,LOW
SAST,Web:S6827,MINOR,spring-petclinic:src/main/resources/templates/owners/ownersList.html:49,Anchors must have content and the content must be accessible by a screen reader.,MINOR,1,1,False,4db7589658269054b2,30,LOW,480,LOW
SAST,Web:S6827,MINOR,spring-petclinic:src/main/resources/templates/owners/ownersList.html:40,Anchors must have content and the content must be accessible by a screen reader.,MINOR,1,1,False,652e2c45bc23969a24,30,LOW,480,LOW
SAST,Web:ImgWithoutAltCheck,MINOR,spring-petclinic:src/main/resources/templates/error.html:6,"Add an ""alt"" attribute to this image.",MINOR,1,1,False,b5e3c3796ffcc935e0,30,LOW,480,LOW
SAST,Web:ImgWithoutAltCheck,MINOR,spring-petclinic:src/main/resources/templates/welcome.html:10,"Add an ""alt"" attribute to this image.",MINOR,1,1,False,e5efb35b41669a5f87,30,LOW,480,LOW
SAST,java:S1488,MINOR,spring-petclinic:src/main/java/org/springframework/samples/petclinic/owner/PetController.java:69,"Immediately return this expression instead of assigning it to the temporary variable ""owner"".",MINOR,1,1,False,cb863c05f6fd4f9a46,30,LOW,480,LOW
SAST,Web:S6827,MINOR,spring-petclinic:src/main/resources/templates/vets/vetList.html:40,Anchors must have content and the content must be accessible by a screen reader.,MINOR,1,1,False,76490f3a6edba7577c,30,LOW,480,LOW
SAST,java:S1192,CRITICAL,spring-petclinic:src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java:99,"Define a constant instead of duplicating this literal ""2015-02-12"" 6 times.",CRITICAL,1,4,True,dd90016b0ec7f613fc,0,SUPPRESSED,5,CRITICAL
SAST,java:S1192,CRITICAL,spring-petclinic:src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java:97,"Define a constant instead of duplicating this literal ""Betty"" 4 times.",CRITICAL,1,4,True,35fb7c4b2f335ab075,0,SUPPRESSED,5,CRITICAL
SAST,java:S115,CRITICAL,spring-petclinic:src/test/java/org/springframework/samples/petclinic/owner/PetValidatorTests.java:51,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,CRITICAL,1,4,True,4a25d745033d527306,0,SUPPRESSED,5,CRITICAL
SAST,java:S115,CRITICAL,spring-petclinic:src/test/java/org/springframework/samples/petclinic/owner/PetValidatorTests.java:53,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,CRITICAL,1,4,True,9f578c83864213d827,0,SUPPRESSED,5,CRITICAL
SAST,java:S1117,MAJOR,spring-petclinic:src/test/java/org/springframework/samples/petclinic/service/ClinicServiceTests.java:89,"Rename ""owners"" which hides the field declared at line 76.",MAJOR,1,3,True,fb0b9f54a90fac87c4,0,SUPPRESSED,5,HIGH
SAST,java:S1192,CRITICAL,spring-petclinic:src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java:75,"Define a constant instead of duplicating this literal ""Franklin"" 6 times.",CRITICAL,1,4,True,4ed55d20c0d38883f5,0,SUPPRESSED,5,CRITICAL
SAST,java:S1117,MAJOR,spring-petclinic:src/test/java/org/springframework/samples/petclinic/service/ClinicServiceTests.java:166,"Rename ""types"" which hides the field declared at line 79.",MAJOR,1,3,True,ed9dcae5683c1dd64e,0,SUPPRESSED,5,HIGH
SAST,java:S3776,CRITICAL,spring-petclinic:src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java:40,Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed.,CRITICAL,1,4,True,9e04cf50f583930af7,0,SUPPRESSED,5,CRITICAL
SAST,java:S1192,CRITICAL,spring-petclinic:src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java:90,"Define a constant instead of duplicating this literal ""pets/createOrUpdatePetForm"" 8 times.",CRITICAL,1,4,True,20f670eb9937642271,0,SUPPRESSED,5,CRITICAL
SAST,java:S1192,CRITICAL,spring-petclinic:src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java:88,"Define a constant instead of duplicating this literal ""/owners/{ownerId}/pets/new"" 6 times.",CRITICAL,1,4,True,6137492800ad3285fe,0,SUPPRESSED,5,CRITICAL
SAST,java:S1192,CRITICAL,spring-petclinic:src/test/java/org/springframework/samples/petclinic/owner/VisitControllerTests.java:69,"Define a constant instead of duplicating this literal ""/owners/{ownerId}/pets/{petId}/visits/new"" 3 times.",CRITICAL,1,4,True,5a8cdc5364f16160b2,0,SUPPRESSED,5,CRITICAL
SAST,java:S1192,CRITICAL,spring-petclinic:src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java:71,"Define a constant instead of duplicating this literal ""hamster"" 3 times.",CRITICAL,1,4,True,e02c2419bf2427855f,0,SUPPRESSED,5,CRITICAL
SAST,java:S1192,CRITICAL,spring-petclinic:src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java:146,"Define a constant instead of duplicating this literal ""/owners?page=1"" 3 times.",CRITICAL,1,4,True,17a1ebd216e9fff05d,0,SUPPRESSED,5,CRITICAL
SAST,java:S1192,CRITICAL,spring-petclinic:src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java:118,"Define a constant instead of duplicating this literal ""London"" 3 times.",CRITICAL,1,4,True,a1903d4e802d6f75cc,0,SUPPRESSED,5,CRITICAL
SAST,java:S1192,CRITICAL,spring-petclinic:src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java:117,"Define a constant instead of duplicating this literal ""address"" 7 times.",CRITICAL,1,4,True,cc366dfdc61aef9503,0,SUPPRESSED,5,CRITICAL
SAST,java:S1192,CRITICAL,spring-petclinic:src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java:116,"Define a constant instead of duplicating this literal ""lastName"" 10 times.",CRITICAL,1,4,True,8b35e6bee555071574,0,SUPPRESSED,5,CRITICAL
SAST,java:S1192,CRITICAL,spring-petclinic:src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java:115,"Define a constant instead of duplicating this literal ""firstName"" 6 times.",CRITICAL,1,4,True,289d99e084a72f7dd5,0,SUPPRESSED,5,CRITICAL
